plate,plate_material,part,copy,x_mm,y_mm,rotate_z_deg
plate_01_chassis_top,PLA/PETG rigid,chassis_top.stl,1,0.0,0.0,0
plate_02_chassis_bottom,PLA/PETG rigid,chassis_bottom.stl,1,0.0,0.0,0
plate_03a_rigid_tibia_links_1of2,PLA/PETG rigid,tibia_link.stl,1,-45.0,0.0,90
plate_03a_rigid_tibia_links_1of2,PLA/PETG rigid,tibia_link.stl,2,0.0,0.0,90
plate_03a_rigid_tibia_links_1of2,PLA/PETG rigid,tibia_link.stl,3,45.0,0.0,90
plate_03b_rigid_tibia_links_2of2,PLA/PETG rigid,tibia_link.stl,4,-45.0,0.0,90
plate_03b_rigid_tibia_links_2of2,PLA/PETG rigid,tibia_link.stl,5,0.0,0.0,90
plate_03b_rigid_tibia_links_2of2,PLA/PETG rigid,tibia_link.stl,6,45.0,0.0,90
plate_04a_rigid_femur_links_1of2,PLA/PETG rigid,femur_link.stl,1,-51.0,0.0,90
plate_04a_rigid_femur_links_1of2,PLA/PETG rigid,femur_link.stl,2,0.0,0.0,90
plate_04a_rigid_femur_links_1of2,PLA/PETG rigid,femur_link.stl,3,51.0,0.0,90
plate_04b_rigid_femur_links_2of2,PLA/PETG rigid,femur_link.stl,4,-51.0,0.0,90
plate_04b_rigid_femur_links_2of2,PLA/PETG rigid,femur_link.stl,5,0.0,0.0,90
plate_04b_rigid_femur_links_2of2,PLA/PETG rigid,femur_link.stl,6,51.0,0.0,90
plate_05a_rigid_battery_holder,PLA/PETG rigid,battery_holder.stl,1,0.0,0.0,0
plate_05b_rigid_electronics_tray,PLA/PETG rigid,electronics_tray.stl,1,0.0,0.0,0
plate_06_rigid_coxa_links,PLA/PETG rigid,coxa_link.stl,1,-84.5,-95.0,0
plate_06_rigid_coxa_links,PLA/PETG rigid,coxa_link.stl,2,-16.5,-95.0,0
plate_06_rigid_coxa_links,PLA/PETG rigid,coxa_link.stl,3,51.5,-95.0,0
plate_06_rigid_coxa_links,PLA/PETG rigid,coxa_link.stl,4,-84.5,-48.0,0
plate_06_rigid_coxa_links,PLA/PETG rigid,coxa_link.stl,5,-16.5,-48.0,0
plate_06_rigid_coxa_links,PLA/PETG rigid,coxa_link.stl,6,51.5,-48.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,1,-82.5,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,2,-49.5,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,3,-16.5,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,4,16.5,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,5,49.5,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,6,82.5,0.0,0
